index,ID,Tweet,Timestamp,Likes,Retweets,Length
29,1500368101656911873,"مُكوّن ""سحري"" للبشرة ومفيد للاستحمام.. شركة تستخدم حليب الإبل لصنع الصابون
https://t.co/yfiAHSD7M9

#CNNatEXPO
#Expo2020",2022-03-06 07:10:05+00:00,16,3,120
30,1500366758959529985,"نجم الهندي اللامع إلاياراجا حفلا كبيرا يتألف على منصة اليوبيل، وسط حضور جمهوري لافت بـ #إكسبو2020 #دبي 

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 

https://t.co/uQSnEqMlou",2022-03-06 07:04:45+00:00,0,1,171
31,1500356011428773891,"تكنولوجيا CNN ||| مُكوّن ""سحري"" للبشرة ومفيد للاستحمام.. شركة تستخدم حليب الإبل لصنع الصابون https://t.co/mxe4zach0w",2022-03-06 06:22:03+00:00,0,0,116
32,1500345778312826880,"مُكوّن ""سحري"" للبشرة ومفيد للاستحمام.. شركة تستخدم حليب الإبل لصنع الصابون https://t.co/oV0jSUzxHR",2022-03-06 05:41:23+00:00,0,0,98
33,1500333718283685891,صاحب السمو الشيخ محمد بن راشد آل مكتوم، نائب رئيس الدولة رئيس مجلس الوزراء حاكم دبي، رعاه الله …. حصن الاتحاد8 @unionfortress8 @ Expo 2020 Dubai https://t.co/pHxDyOC7gl,2022-03-06 04:53:27+00:00,0,0,168
34,1500313451427598338,بعد مرور عام على اتفاقات أبراهام، إسرائيل ”سعيدة” بالتواجد في معرض دبي إكسبو https://t.co/uolcYCqjWZ,2022-03-06 03:32:55+00:00,0,0,100
35,1500282550689935360,ألق نظرة على أسرع وأغلى سيارة إسعاف بالعالم في #إكسبو2020 #دبي https://t.co/GdauLpfOVJ #Expo2020 #Expo2020Dubai #CNNatExpo,2022-03-06 01:30:08+00:00,21,2,122
36,1500227023138181127,#dubai_expo_2020 حينما يجتمع العالم في قرية 🌿🕊♥️ #🕋🇲🇦👑 https://t.co/JCSyvAJvCP,2022-03-05 21:49:29+00:00,1,0,78
37,1500199468766928896,"#إكسبو2020 دبي.. رحلة إلى الدومينيكان ""محور الأمريكتين الطبيعي""

رابط التقرير | https://t.co/2LfcoENv5N

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/H9wooWFZOH",2022-03-05 20:00:00+00:00,1,3,169
38,1500140193072001035,"#إكسبو2020 دبي.. الألعاب النارية تخطف الأنظار في أول عرض أسبوعي

رابط التقرير | https://t.co/o7Kek146vi

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/muhzt5hSSz",2022-03-05 16:04:27+00:00,2,2,169
39,1500078678352580610,"#فايز_السعيد في #إكسبو2020 #دبي.. سفير الألحان يشعل ساحة الوصل

للتفاصيل | https://t.co/kHIZuDkusE

#عينك_على_إكسبو
#Expo2020 @expo2020dubai
@FayezOfficial https://t.co/yX0GBSb2CM",2022-03-05 12:00:01+00:00,1,2,179
40,1499837081647935489,"#إكسبو2020 دبي يشهد افتتاح منطقة ترفيهية داخلية جديدة للأطفال.. يطلق عليها اسم ""ذا فاميلي بليس""

#عينك_على_إكسبو
#Expo2020 @expo2020dubai
https://t.co/svYDTJlhJx",2022-03-04 20:00:00+00:00,0,1,161
41,1499821982908571648,كوخ ذكي أو مكتب متنقل.. استكشف مزايا هذه الوحدة السكنية الذكية في #إكسبو2020 #دبي https://t.co/SiDkSJi0VN #Expo2020 #Expo2020Dubai #CNNatExpo https://t.co/qGJX7MeuWF,2022-03-04 19:00:00+00:00,23,1,165
42,1499770621613510658,"مملكة #تونغا تحتفل بعيدها الوطني في #إكسبو2020.. حيث أقيمت مراسم رفع الأعلام والعروض الفنية

#عينك_على_إكسبو
#Expo2020 @expo2020dubai
https://t.co/RbyaqbSpoH",2022-03-04 15:35:55+00:00,0,0,157
43,1499764838955982848,🇴🇲 🇦🇪  شكرًا على الصوره الجميله اخ قصي السليمي و الاخوة و شرفتونا   #الامارات#عمان#دبي#اكسبو#2020#اليوم#شكراً#الفجيرة#أبوظبي#مسقط#صحار# @ Expo 2020 Dubai https://t.co/ifneVpTYHr,2022-03-04 15:12:56+00:00,0,0,177
44,1499658474711830528,"ضمن الفعاليات الفنية التي ينظمها #إكسبو2020 دبي، أحيت الشقيقتان الفلبينيتان توني وأليكس جونزاجا أمسية غنائية ساحرة.. إليكم التفاصيل

#عينك_على_إكسبو⁩
⁦#Expo2020 ⁩ ⁦@expo2020dubai⁩
https://t.co/x7gTtpFRqD",2022-03-04 08:10:17+00:00,0,3,203
45,1499621721443287042,"اكسبو دبي : @expo2020dubai 
تكملة البوستات زرت جناح ايطاليا وفي بعض الاماكن الحلوة موجوده خارج الجناح واحلى قهوة من كافيه كوب 😍 @expo2020dubai @expo2020dubai #expo2020 @ Expo 2020 Dubai https://t.co/sTTq5i0Rb7",2022-03-04 05:44:14+00:00,1,0,209
46,1499610360940273666,جناح الكاميرون 🇨🇲 #إكسبو_2020_دبي  #expo_2020_dubai https://t.co/pHy25bW0L2,2022-03-04 04:59:06+00:00,2,0,75
47,1499605455756271617,جناح نيكاراغوا 🇳🇮 #إكسبو_2020_دبي  #expo_2020_dubai https://t.co/pnOaqEiiSh,2022-03-04 04:39:36+00:00,3,1,75
48,1499474996703469570,"إكسبو دبي.. محمد بن راشد يزور جناحي سوريا والباراجواي

للتفاصيل | https://t.co/6jZNQqnmol
#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/xBnMkms72w",2022-03-03 20:01:12+00:00,1,0,154
49,1499432781297991683,"والعلوم وانترنت الاشياء 
 ( EXPO SCIENCE DUBAI 2022 ) 
بمشاركة اكثر من ٤٧٠ مشارك من انحاء العالم

وكما حصدت على ٥ مقاعد من YCC 
في مؤتمر ( مستقبلنا في الفضاء ) 
( OUR FUTURE IN SPACE ) 
 مع وكالة الفضاء الامريكية ناسا 
وبحضور رائد فضاء منها وبمشارك 
اكثر من ٢٠ دولة في هذا المؤتمر",2022-03-03 17:13:27+00:00,1,1,280
50,1499432607074893830,"""السعادة هي أسلوب حياة""
@hhshkmohd @ Expo 2020 Dubai https://t.co/hJp4XlEiHI",2022-03-03 17:12:46+00:00,0,0,76
51,1499407137558208521,"#إكسبو2020 دبي يدعو زواره هذا الشهر للتعرف إلى الدور المحوري للمرأة بالنهوض بمجتمعاتها عالمياً عبر رحلة ""تاريخها.. جولة حرة"" 

#عينك_على_إكسبو
#Expo2020 @expo2020dubai
  https://t.co/9AqypYiOt5",2022-03-03 15:31:33+00:00,1,1,193
52,1499372644952682500,"انضم إلينا في شهر مارس  ضمن برنامج ليالي الفيلم السعودي في جناح المغرب 🇲🇦 بالتعاون مع KSA Expo 2020.
فرصة فريدة للاستمتاع ببعض من أفضل المواهب السينمائية  

#Expo2020 #Dubai #UAE #Morocco #MoroccoPavilion #SaudiArabia #KSAatExpo2020 #SaudiFilmNights https://t.co/YVJ5FuagjS",2022-03-03 13:14:30+00:00,0,0,273
53,1499342387520364548,"تبقى #دبي في الأمام بخطوات.. 
لكل من جاء متأخراً #الأول_سابق دائماً 
هناك في المستقبل توجد مدينة أسمها #Dubai #دبي_دار_الحي ..❤️

 #إكسبو_2020_دبي
#Expo https://t.co/Q8K2dq6xnv",2022-03-03 11:14:16+00:00,5,1,176
54,1499338802741092353,كوخ ذكي أو مكتب متنقل.. استكشف مزايا هذه الوحدة السكنية الذكية في #إكسبو2020 #دبي https://t.co/SiDkSJi0VN #Expo2020 #Expo2020Dubai #CNNatExpo https://t.co/nqaQxhLCKX,2022-03-03 11:00:01+00:00,14,1,165
55,1499306081373372418,"#إكسبو2020 دبي.. ""ممر إلى بوليوود"" يُبهر عشاق الرومانسية

رابط التقرير | https://t.co/AfemgEN5cq

#عينك_على_إكسبو
#Expo2020 @expo2020dubai https://t.co/14jd9gU5qu",2022-03-03 08:50:00+00:00,0,0,162
56,1499284579978461184,Pavillon المغربي فExpo Dubai ضعيف جدا هادشي تيبين بلي حنا باقيين خدامين بباك صاحبي ماشي بالكفاءة كل واحد حاط صاحبو و7 طوابق وكثرة الخشب على والو pavillon السعودي دايرينو واعر بزاف,2022-03-03 07:24:33+00:00,0,0,179
57,1499044360901435393,"""من مختلف الجنسيات والأعمار"".. كشف جناح جمهورية مصر العربية في #إكسبو2020 #دبي عن وصول أعداد الزوار، إلى مليون و100 ألف زائر 

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 
https://t.co/Lfa2BAk2if",2022-03-02 15:30:01+00:00,2,1,192
58,1499036811150213125,"سارة بنت يوسف الأميري، وزيرة دولة للتكنولوجيا المتقدمة في #الإمارات زارت جناح #توجو المشارك في #إكسبو2020 دبي، واطلعت على جهود التنمية والاستثمار والتطور التكنولوجي في البلاد

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 
@SarahAmiri1
https://t.co/1NXaCkqI8Y",2022-03-02 15:00:01+00:00,0,0,254
59,1499029260807327753,"#إثيوبيا تحتفل بيومها الوطني في #إكسبو2020 دبي بحضور وفد رفيع المستوى

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 
https://t.co/J5AMeA9pk1",2022-03-02 14:30:01+00:00,0,0,136
60,1499024195002548230,كوخ ذكي أو مكتب متنقل.. استكشف مزايا هذه الوحدة السكنية الذكية في #إكسبو2020 #دبي https://t.co/SiDkSJi0VN #Expo2020 #Expo2020Dubai #CNNatExpo https://t.co/L3oGMzQpiz,2022-03-02 14:09:53+00:00,19,5,165
61,1499021716609126402,"جناح #السعودية في #إكسبو2020 دبي استضاف ندوة ضمن فعاليات ""ليالي الفيلم السعودي""، جمعت متخصصين في صناعة الأفلام، وتناولت القصص المميزة في هذا القطاع

#عينك_على_إكسبو
#expo2020 @expo2020dubai @KSAExpo2020 
https://t.co/WxoVxpFpZ0",2022-03-02 14:00:02+00:00,0,0,227
62,1499006618926682113,"#رومانيا احتفلت بيومها الوطني في #إكسبو2020 دبي بعروض قدمتها الفرقة الشعبية الشهيرة ""سيندرلول-جوني سيبيولوي""

#عينك_على_إكسبو
#expo2020 @expo2020dubai 
https://t.co/qeWAGxCpoE",2022-03-02 13:00:02+00:00,0,0,175
63,1498972352092196868,"#هل_تعلم أن كانون تستضيف ورش عمل وجولات تصوير مختلفة في @expo2020dubai؟
يطلعنا ""براد"" على جولة التصوير التي حدثت مع محترفي كانون، حيث يمكنكم استعارة أحدث كاميرات كانون! 📷
 اعرفوا المزيد حول أنشطتنا المختلفة : https://t.co/yz5wZxtNgN
#كانون_الشرق_الأوسط #إكسبو2020 #دبي",2022-03-02 10:43:52+00:00,1,1,268
64,1498953762785964032,"#إكسبو2020 دبي احتفى بمجموعة من المتطوعين الأكثر تميزا، تقديرا لالتزامهم ومساهماتهم في تنظيم الحدث الدولي

#عينك_على_إكسبو
#Expo2020 @expo2020dubai 
https://t.co/cM4aCKq9PQ",2022-03-02 09:30:00+00:00,0,0,172
65,1498936800873787394,جناح إثيوبيا 🇪🇹 #إكسبو_2020_دبي  #expo_2020_dubai https://t.co/ya7BsSGMon,2022-03-02 08:22:36+00:00,1,0,73
66,1498931115339309057,"""سلطان الموسيقى"" قدم سهرة غنائية ساحرة على منصة اليوبيل ضمن فعاليات #إكسبو2020 دبي، وحضر الحفل عدد كبير من معجبي #عدنان_سامي_خان وعشاق الموسيقى الهندية والغربية

#عينك_على_إكسبو
#expo2020 @expo2020dubai 
https://t.co/8YpbCvSUbl",2022-03-02 08:00:01+00:00,0,0,227
67,1498888951096311808,"أجنحة الدول المشاركة في #إكسبو2020 #دبي تمدد ساعات عملها في شهر مارس https://t.co/Ls7KWdgEOo
@expo2020dubai https://t.co/7fhWeTgIrn",2022-03-02 05:12:28+00:00,4,0,131
68,1498743001543286790,"مع الغالي عبدالله الملا من ⁧#الكويت⁩ و اخوي سعود الريامي في ⁧#إكسبو_2020_دبي ⁩

⁧#إكسبو2020 ⁩  
⁦#Expo2020 ⁩   
⁦#Expo2020Dubai ⁩ 
⁦⁩ ⁦ @ Expo 2020 Dubai https://t.co/hMIww547rC",2022-03-01 19:32:31+00:00,1,0,177
69,1498729508555595776,#بالمختصر_المفيد الكل يجيد التبسُّم .. لكن النية تختلف @ Expo 2020 Dubai https://t.co/HfTy416V3H,2022-03-01 18:38:54+00:00,0,0,96
70,1498699585119821825,"تكشف #اليابان عبر جناحها في #إكسبو2020 دبي للزوار عن أعجوبتها التكنولوجية الفريدة، الروبوت الشهير ألتر 3

#عينك_على_إكسبو⁩
⁦#expo2020 ⁩  ⁦@expo2020dubai
https://t.co/gdGiApRdmT",2022-03-01 16:40:00+00:00,0,0,176
71,1498692035473248260,"يكرّم الشيخ #محمد_بن_راشد آل مكتوم، نائب رئيس دولة #الإمارات، رئيس مجلس الوزراء حاكم دبي، الفائزين بالدورة السادسة لجائزة محمد بن راشد للأداء الحكومي المتميز في #إكسبو2020 دبي

#عينك_على_إكسبو⁩
⁦#expo2020 ⁩  ⁦@expo2020dubai
https://t.co/9EERH3rG2H",2022-03-01 16:10:00+00:00,0,0,247
72,1498691497084006406,"@Khaliid_It و داليدا خليل بدها تغني بال Expo Dubai 🥴🥴🥴
قربت الاخوة يا جماعة 🤦🏻‍♀️🤦🏻‍♀️",2022-03-01 16:07:51+00:00,1,0,86
